"reference_path","bytes","observed_purpose","boundary","owner","disposition","provenance_decision","dependencies"
".DS_Store","10244","OS-generated file","Generated","None","Discard","Not a source input","None"
".forceignore","349","Reference ignore configuration","Repository","Release maintainer","Replace","No source license found; derive from project boundaries","Repository and Salesforce CLI"
".gitignore","823","Reference ignore configuration","Repository","Release maintainer","Replace","No source license found; derive from project boundaries","Repository and Salesforce CLI"
".prettierignore","200","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
".prettierrc","303","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
"ARCHITECTURE.md","26384","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"BUG_REPORT.md","6087","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"BULK_UPLOAD_CONFIG_GUIDE.md","14113","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"BULK_UPLOAD_FIELD_BEHAVIOR_GUIDE.md","43915","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"BulkRecordUpload_Platform_Deck.pptx","1198520","Reference presentation binary","Documentation","Documentation maintainer","Discard","No source license found","None"
"CLAUDE.md","9583","Reference agent instructions","Repository local","None","Discard","No source license found","None"
"CUSTOM_BATCH_HANDLER.md","17554","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"ONBOARDING.md","12498","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"README.md","1251","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"SPEC-archive-and-row-numbers.md","5554","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"SPEC.md","23079","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"SPEC_BUG_AUDIT.md","4718","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"UPLOAD_FLOW.md","17580","Reference documentation or planning claim","Documentation evidence","Documentation maintainer","Reimplement","No source license found; facts require source reconciliation and project-owned prose","Approved product and runtime contracts"
"config/project-scratch-def.json","279","Reference scratch-org definition","Tooling","Release maintainer","Reimplement","No source license found; rebuild from project org policy","Salesforce scratch-org features"
"eslint.config.js","1433","Reference JavaScript tool configuration","Tooling","Release maintainer","Replace","Dependency licenses must be reviewed independently","Node.js toolchain"
"force-app/.DS_Store","6148","OS-generated file","Generated","None","Discard","Not a source input","None"
"force-app/main/.DS_Store","6148","OS-generated file","Generated","None","Discard","Not a source input","None"
"force-app/main/default/.DS_Store","10244","OS-generated file","Generated","None","Discard","Not a source input","None"
"force-app/main/default/applications/Bulk_Record_Upload.app-meta.xml","934","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadBatchBase.cls","94789","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadBatchBase.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadBatchBaseTest.cls","65082","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadBatchBaseTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadBatchHandler.cls","3247","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadBatchHandler.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
